oxide, oxidising a1, oxidising a2, reducing a1, reducing a2
AgO,0.0000,0.0740,0.0000,0.2221
AlO,1.8742,-3.7485,0.0000,1.4160
BaO,0.0000,0.2721,0.0000,1.4113
BeO,0.0000,0.5170,0.0000,1.5509
BiO,0.7585,-1.5171,0.0000,0.7000
CaO,0.0000,0.9553,0.0000,1.6539
CdO,0.0000,0.2287,0.0000,0.6860
CeO,0.2767,-0.8854,0.0000,1.6166
CoO,0.0261,0.0512,0.0000,0.6417
CrO,0.3993,-0.7986,0.0000,0.9830
CsO,0.0022,-0.0044,0.5058,-0.3531
CuO,0.0965,0.0138,0.0000,0.4709
ErO,0.9293,-1.8586,0.0000,1.5633
EuO,0.2161,-0.2883,0.0000,1.5600
FeO,0.2253,-0.4506,0.0000,0.7404
GaO,0.8840,-1.7680,0.0000,0.6919
GdO,0.8601,-1.7202,0.0000,1.5170
HgO,0.0000,0.1062,0.0000,0.3185
HoO,0.9090,-1.8181,0.0000,1.5617
InO,0.6420,-1.2840,0.0000,0.6769
KO,0.0117,0.0111,0.5445,-0.3862
LaO,0.6696,-1.3392,0.0000,1.6017
LiO,0.0000,0.1935,0.3008,-0.6015
MgO,0.0000,0.5090,0.0000,1.5269
MnO,0.1596,-0.2130,0.0000,0.9892
NaO,0.0000,0.2371,0.0217,-0.0435
NbO,0.0938,-0.5314,0.0000,1.1424
NdO,0.7080,-1.4160,0.0000,1.5362
NiO,0.0000,0.2655,0.2809,1.0692
PbO,0.0947,-0.0298,0.0000,0.7340
PdO,0.0000,0.1317,0.0000,0.3952
PrO,0.6886,-1.3772,0.0000,1.5226
PtO,0.0855,-0.3419,0.0000,0.2917
RbO,0.0165,-0.0210,0.4671,-0.2566
ScO,0.7280,-1.4561,0.0000,1.6197
SiO,0.3048,-1.2194,0.0000,1.0235
SmO,0.7545,-1.5090,0.0000,1.5533
SnO,0.1186,-0.4745,0.0000,0.8187
SrO,0.0000,1.1879,0.0000,1.5380
TaO,0.2344,-1.4067,60.2492,-10.9654
TeO,0.2992,-1.1966,0.0000,0.1484
TiO,0.1483,-0.5933,0.4256,0.4244
TlO,0.6672,-1.3343,0.0000,0.5000
VO,0.4352,-0.8705,0.0000,1.0450
YO,0.8756,-1.7511,0.0000,1.5471
YbO,0.0049,0.5105,0.0000,1.8142
ZnO,0.0000,0.2983,0.0000,0.8950
ZrO,0.3139,-1.2555,0.0000,1.2784
Ag2O3,0.0000,0.3490,0.0860,-0.1719
Al2O3,0.0000,0.8182,0.2109,0.4306
As2O3,0.0303,-0.0261,0.0000,0.5427
Au2O3,0.0000,0.0913,0.0000,0.1522
Bi2O3,0.0980,0.0620,0.0000,0.5473
Br2O3,0.0092,-0.0552,0.0000,0.0658
Ca2O3,0.0023,0.0409,0.9093,-1.8185
Ce2O3,0.4803,-0.5763,0.3604,0.1750
Co2O3,8.0583,-3.2233,0.4660,-0.9319
Cr2O3,0.0000,1.1120,0.5282,-0.2544
Cs2O3,0.2170,-0.2036,0.2456,-0.3709
Cu2O3,0.0000,0.3161,0.1102,-0.2204
Dy2O3,0.0000,0.9271,0.0000,1.3362
Er2O3,0.0000,0.9562,0.2113,0.7179
Eu2O3,0.0000,0.7748,0.4244,-0.2827
Fe2O3,0.0000,0.3412,0.6151,-0.3955
Ga2O3,0.0000,0.7858,0.0000,0.9481
Gd2O3,0.0000,0.8405,0.2190,0.6411
Ge2O3,0.5896,-1.1793,0.0000,0.4960
Ho2O3,0.0000,0.9473,0.2176,0.6915
In2O3,0.0000,0.6855,0.0116,0.6303
La2O3,0.0000,0.9189,0.3107,0.3589
Lu2O3,0.0000,1.0210,0.0000,1.3743
Mn2O3,0.0103,0.2319,0.3300,-0.2198
Mo2O3,0.5266,-1.0532,0.3300,0.8085
Nb2O3,0.1387,-0.5086,0.1526,0.1340
Nd2O3,0.0000,0.4799,0.2760,0.4320
Ni2O3,0.0466,-0.0931,0.5783,-1.1566
Pb2O3,0.3631,-0.2693,0.0759,-0.1519
Pr2O3,0.0000,0.7803,0.2780,0.4106
Rb2O3,0.0214,-0.0048,0.0048,-0.0096
Rh2O3,0.1456,-0.2912,0.0000,0.3602
Sb2O3,0.0856,-0.1712,0.0000,0.5835
Sc2O3,0.0000,1.0372,0.0000,1.3225
Si2O3,1.1015,-2.2031,0.3560,-0.2382
Sm2O3,0.0000,0.8871,0.0000,1.2870
Sn2O3,0.4554,-0.9108,0.3125,-0.3750
Sr2O3,0.0000,0.5880,1.1282,-2.2565
Ta2O3,0.1855,-0.7421,0.3120,-0.0268
Tb2O3,0.0000,0.8772,0.0000,1.3275
Ti2O3,0.1980,-0.3960,0.3302,-0.0195
Tl2O3,0.0000,0.2206,0.0621,0.0174
Tm2O3,0.0000,0.9665,0.0000,1.3639
V2O3,0.1040,-0.0876,0.5421,-0.1949
W2O3,0.1361,-0.8167,0.5901,0.0388
Y2O3,0.0000,0.9415,0.2239,0.6517
Yb2O3,0.1656,-0.0552,0.9301,-1.8602
AgO2,0.0000,0.3490,0.0213,-0.0851
AlO2,0.0723,0.3785,0.7555,-1.5109
AsO2,0.0377,-0.0097,0.0411,-0.0821
BaO2,0.0000,0.2163,0.1264,-0.5058
BeO2,0.0000,0.3276,0.4478,-1.7913
BiO2,0.0000,0.3649,0.1823,-0.3647
BrO2,0.0000,0.0425,0.1174,-0.2348
CaO2,0.0000,0.5888,0.2381,-0.9525
CdO2,0.0000,0.2514,0.0916,-0.3663
CeO2,0.1176,0.5113,0.0928,-0.0742
CoO2,0.0000,0.2698,0.0510,-0.2041
CrO2,0.0000,0.5116,0.3190,-0.6380
CsO2,0.0000,0.3323,0.0135,-0.0269
CuO2,0.0000,0.1321,0.1033,-0.4134
DyO2,0.1029,0.3799,0.8418,-1.6835
ErO2,0.1191,0.3232,0.8575,-1.7150
EuO2,0.1142,0.1656,0.4090,-1.0903
FeO2,0.0000,0.7930,0.4709,-0.9419
GaO2,0.0033,0.3818,0.6879,-1.3759
GdO2,0.0541,0.5581,0.7969,-1.5939
GeO2,0.0000,1.3438,0.0245,0.5652
HfO2,0.0000,1.0046,0.0000,1.0046
HgO2,0.0000,0.1039,0.0554,-0.2217
HoO2,0.1185,0.3217,0.8501,-1.7003
IO2,0.0599,-0.1198,0.0000,0.1738
InO2,0.0810,0.0343,0.5632,-1.1263
IrO2,0.0877,-0.0360,0.0000,0.3149
KO2,0.1264,-0.1714,0.0172,-0.0690
LaO2,0.1957,-0.0108,0.7844,-1.5687
LiO2,0.0000,0.1437,0.0743,-0.4458
LuO2,0.1762,0.1060,0.8803,-1.7606
MgO2,0.0000,0.5421,0.2213,-0.8853
MnO2,0.0183,0.2169,0.1378,-0.3673
MoO2,0.0225,0.0034,0.3171,0.2024
NaO2,0.0000,0.3167,0.0197,-0.1185
NbO2,0.2035,-0.3391,0.0381,0.2296
NdO2,0.0000,0.8266,0.4740,-0.9481
NiO2,0.0000,0.5000,0.1329,-0.5318
OsO2,0.0115,-0.0924,0.0000,0.3355
PbO2,0.0000,0.7209,0.0424,-0.1698
PdO2,0.0000,0.1818,0.0158,-0.0632
PrO2,0.1071,0.3278,0.7096,-1.4191
PtO2,0.0000,0.2313,0.1310,-0.0999
RbO2,0.1248,-0.1690,0.0053,-0.0214
ReO2,0.0597,-0.2388,0.0000,0.4738
RhO2,0.0000,0.3065,0.0536,0.0920
RuO2,0.0000,0.3641,0.0000,0.3641
SbO2,0.0336,0.0227,0.1245,-0.0388
ScO2,0.0673,0.4892,0.9339,-1.8677
SeO2,0.0332,0.0768,0.0000,0.2882
SiO2,0.0000,2.2182,0.0000,0.8166
SmO2,0.1135,0.3111,0.7999,-1.5998
SnO2,0.0000,0.7731,0.0574,0.1225
SrO2,0.0000,0.5880,0.1810,-0.7240
TaO2,0.2831,-0.5662,0.0926,0.3555
TbO2,0.1128,0.3455,0.7959,-1.5918
TcO2,0.4424,-1.2991,0.0000,0.4705
TeO2,0.0092,0.0582,0.0000,0.3733
TiO2,0.0000,1.0262,0.2244,-0.1379
TmO2,0.1206,0.3242,0.8662,-1.7324
VO2,0.1209,0.0705,0.0459,-0.0918
WO2,0.0605,-0.2419,0.2059,0.5989
YO2,0.1142,0.3245,0.8443,-1.6887
YbO2,0.0000,0.6469,0.2601,-1.0405
ZnO2,0.0000,0.3013,0.1462,-0.5848
ZrO2,0.0000,1.1808,0.0514,0.5550
