oxide, MP-id, formation energy (eV)
AgO,mp-499,-0.4441
AlO,mp-8023,-1.5511
BaO,mp-1342,-2.8226
BeO,mp-2542,-3.1018
BiO,mp-27945,-0.8834
CaO,mp-2605,-3.3077
CdO,mp-1132,-1.3720
CeO,mp-10688,-3.2331
CoO,mp-22408,-1.2834
CrO,mp-755073,-1.9661
CsO,mp-7896,-1.3404
CuO,mp-1692,-0.9418
ErO,mp-1184211,-3.1267
EuO,mp-21394,-3.1201
FeO,mp-1279742,-1.4809
GaO,mp-1183990,-1.3838
GdO,mp-7870,-3.0341
HgO,mp-1224,-0.6371
HoO,mp-974336,-3.1234
InO,mp-1184809,-1.3538
KO,mp-2672,-1.4054
LaO,mp-1206710,-3.2033
LiO,mp-841,-1.7602
MgO,mp-1265,-3.0538
MnO,mp-19006,-1.9784
NaO,mp-2340,-1.4228
NbO,mp-2311,-2.2848
NdO,mp-754545,-3.0723
NiO,mp-19009,-1.2172
PbO,mp-672237,-1.4681
PdO,mp-1336,-0.7905
PrO,mp-11344,-3.0453
PtO,mp-7947,-0.5834
RbO,mp-7895,-1.3429
ScO,mp-644481,-3.2395
SiO,mp-32761,-2.0471
SmO,mp-1611,-3.1066
SnO,mp-2097,-1.6373
SrO,mp-2472,-3.0761
TaO,mp-1895,-1.2295
TeO,mp-1245910,-0.2967
TiO,mp-1071163,-2.9072
TlO,mp-1207075,-0.4360
VO,mp-19184,-2.0900
YO,mp-1187855,-3.0943
YbO,mp-1216,-3.6283
ZnO,mp-2133,-1.7900
ZrO,mp-10197,-2.5568
Ag2O3,mp-546190,-0.3582
Al2O3,mp-1143,-3.4253
As2O3,mp-1581,-1.6281
Au2O3,mp-27253,-0.4566
Bi2O3,mp-23262,-1.6420
Br2O3,mp-28933,-0.1975
Ca2O3,mp-1120811,-2.3985
Ce2O3,mp-542313,-3.7686
Co2O3,mvc-852,-0.8174
Cr2O3,mp-19399,-2.3654
Cs2O3,mp-1213719,-1.3426
Cu2O3,mp-771359,-0.8316
Dy2O3,mp-2345,-4.0085
Er2O3,mp-679,-4.0560
Eu2O3,mp-1182469,-3.1692
Fe2O3,mp-19770,-1.7062
Ga2O3,mp-886,-2.2678
Gd2O3,mp-504886,-3.8942
Ge2O3,mp-982048,-1.4879
Ho2O3,mp-812,-4.0324
In2O3,mp-22598,-1.9958
La2O3,mp-2292,-3.8729
Lu2O3,mp-1427,-4.1229
Mn2O3,mp-1172875,-2.0128
Mo2O3,mvc-912,-1.4891
Nb2O3,mp-1095187,-2.5713
Nd2O3,mp-1045,-3.7803
Ni2O3,mvc-894,-0.6389
Pb2O3,mp-20078,-1.3921
Pr2O3,mp-16705,-3.7339
Rb2O3,mp-2571,-1.3382
Rh2O3,mp-1716,-1.0805
Sb2O3,mp-2136,-1.7505
Sc2O3,mp-216,-3.9675
Si2O3,mp-1179195,-2.1649
Sm2O3,mp-218,-3.8611
Sn2O3,mvc-427,-1.6565
Sr2O3,mp-1187089,-1.9478
Ta2O3,mp-1079159,-2.5974
Tb2O3,mp-1056,-3.9824
Ti2O3,mp-458,-3.3024
Tl2O3,mp-1658,-1.1031
Tm2O3,mp-1767,-4.0918
V2O3,mp-18937,-2.5253
W2O3,mvc-934,-0.9584
Y2O3,mp-2652,-3.9699
Yb2O3,mp-2814,-2.6982
AgO2,mp-1214946,-0.3590
AlO2,mp-1182858,-2.6699
AsO2,mp-27356,-1.5870
BaO2,mp-1105,-2.3168
BeO2,mp-1214291,-1.3106
BiO2,mp-557993,-1.4596
BrO2,mp-1182474,-0.0801
CaO2,mp-634859,-2.3552
CdO2,mp-2310,-1.0058
CeO2,mp-20194,-3.9266
CoO2,mvc-14149,-1.0793
CrO2,mp-19177,-2.0463
CsO2,mp-1441,-1.3292
CuO2,mp-25378,-0.5284
DyO2,mp-1206731,-3.1667
ErO2,mp-1206338,-3.1985
EuO2,mp-1018700,-2.4896
FeO2,mp-1205429,-1.2352
GaO2,mp-1212646,-1.5798
GdO2,mp-21149,-3.0972
GeO2,mp-733,-2.0775
HfO2,mp-352,-4.0185
HgO2,mp-557266,-0.4154
HoO2,mp-1206243,-3.1823
IO2,mp-23170,-0.6951
InO2,mp-1181008,-1.4326
IrO2,mp-2723,-1.2595
KO2,mp-1866,-1.3365
LaO2,mp-1206559,-3.0885
LiO2,mp-1018789,-1.3922
LuO2,mp-1206244,-3.2425
MgO2,mp-2589,-2.1685
MnO2,mp-19395,-1.8046
MoO2,mp-510536,-2.0157
NaO2,mp-1901,-1.2668
NbO2,mp-557057,-2.8963
NdO2,mp-31049,-3.3063
NiO2,mp-35925,-0.6855
OsO2,mp-996,-1.3420
PbO2,mp-20725,-1.2983
PdO2,mp-1018886,-0.7273
PrO2,mp-1302,-3.0243
PtO2,mp-1285,-0.9253
RbO2,mp-12105,-1.3216
ReO2,mp-7228,-1.8950
RhO2,mp-725,-1.2261
RuO2,mp-825,-1.4563
SbO2,mp-230,-1.8361
ScO2,mp-1179114,-3.0336
SeO2,mp-726,-1.1528
SiO2,mp-546794,-3.2664
SmO2,mp-1077235,-3.0612
SnO2,mp-856,-2.1118
SrO2,mp-2697,-2.3521
TaO2,mp-510,-3.0564
TbO2,mp-2458,-3.1865
TcO2,mp-33137,-1.8820
TeO2,mp-2125,-1.4933
TiO2,mp-554278,-3.5004
TmO2,mp-1206313,-3.2256
VO2,mp-19094,-2.4794
WO2,mp-19372,-1.9416
YO2,mp-1206610,-3.1255
YbO2,mp-864801,-2.5878
ZnO2,mp-8484,-1.2052
ZrO2,mp-2858,-3.8123
